protocol,tcp_bytes,Quic-bytes,real_time,
6,0,,13.640599,
6,73,,13.665086,
6,0,,13.733647,
6,73,,13.848149,
6,0,,13.852976,
6,0,,13.860175,
6,0,,13.878401,
6,73,,14.098088,
6,73,,14.114053,
6,73,,14.177976,
6,73,,14.240845,
6,0,,14.265781,
6,0,,14.265792,
6,0,,14.26581,
6,0,,14.286027,
6,0,,14.286039,
6,73,,14.326661,
6,73,,14.347293,
6,732,,14.420286,
6,73,,14.438982,
6,73,,14.542668,
6,608,,14.545272,
6,73,,14.702905,
6,0,,14.782455,
6,73,,14.843009,
6,73,,14.966602,
6,0,,15.016723,
6,0,,15.053532,
6,0,,15.059799,
6,0,,15.059805,
6,35,,15.059809,
6,0,,15.085551,
6,0,,15.099243,
6,0,,15.126091,
6,0,,15.157035,
6,12,,15.23814,
6,73,,15.257349,
6,73,,15.270882,
6,0,,15.299672,
6,73,,15.329962,
6,0,,15.361646,
6,0,,15.361654,
6,0,,15.361658,
6,31,,15.361666,
6,0,,15.387671,
6,73,,15.50388,
6,0,,15.592698,
6,608,,15.714713,
6,73,,15.744479,
6,73,,15.814277,
6,0,,15.834312,
6,73,,15.835412,
6,0,,15.869048,
6,0,,15.875158,
6,0,,15.878229,
6,0,,15.90681,
6,0,,15.906821,
6,0,,15.906825,
6,517,,15.906829,
6,1430,,15.916611,
6,177,,15.916623,
6,1430,,15.920558,
6,177,,15.920568,
6,0,,15.950782,
6,0,,15.96834,
6,0,,15.971985,
6,0,,15.974102,
6,1430,,16.01107,
6,0,,16.027977,
6,0,,16.072641,
6,0,,16.072652,
6,0,,16.072656,
6,0,,16.072659,
6,0,,16.072662,
6,0,,16.072669,
6,517,,16.072673,
6,0,,16.072684,
6,0,,16.080343,
6,0,,16.084515,
6,0,,16.088631,
6,0,,16.095826,
6,0,,16.095831,
6,0,,16.095834,
6,0,,16.095837,
6,0,,16.10093,
6,0,,16.100936,
6,0,,16.100939,
6,0,,16.10505,
6,0,,16.109144,
