real_time (s),video_playback_time (s),video_quality,bitrate (kbps),stall_in_this_segment (s),bandwidth
3000.001,1069.909,144p,278,5.5020000000004075,64
3042.708,1089.903,144p,278,22.712999999999965,64
3043.29,1089.983,144p,278,0.5019999999999527,64
3044.04,1090.645,144p,278,0.08799999999996544,64
3050.001,1096.606,144p,278,2.2737367544323206e-13,64
3050.902,1097.507,144p,278,0,64
3060.0,1097.507,144p,278,9.097999999999956,64
3061.711,1097.583,144p,278,1.6349999999997635,64
3062.461,1098.265,144p,278,0.06799999999998363,64
3070.001,1105.804,144p,278,0.0010000000004311005,64
3083.534,1119.331,240p,395,0.0060000000000854925,64
3092.405,1128.209,144p,278,0,64
3100.649,1136.453,144p,278,0,64
3110.001,1136.453,144p,278,9.352000000000317,64
3113.03,1136.536,144p,278,2.9459999999999127,64
3113.78,1137.218,144p,278,0.06799999999998363,64
3120.001,1143.439,144p,278,0.0,128
3150.001,1173.441,144p,278,0,128
3154.939,1178.379,144p,278,0,128
3160.0,1178.379,144p,278,5.061000000000149,128
3169.968,1178.464,144p,278,9.88299999999981,128
3170.0,1178.486,144p,278,0.009999999999990905,128
3170.718,1178.486,144p,278,0.7179999999998472,128
3171.703,1178.486,144p,278,0.9850000000001273,128
3172.439,1178.68,144p,278,0.5419999999999163,128
3173.189,1179.431,144p,278,0,128
3180.001,1186.243,144p,278,4.547473508864641e-13,128
3203.661,1209.903,144p,278,0,128
3210.001,1209.903,144p,278,6.3400000000001455,128
3268.862,1209.903,144p,278,58.86099999999965,128
3270.001,1209.903,144p,278,1.1390000000001237,128
3290.466,1209.903,144p,278,20.465000000000146,128
3300.001,1209.903,144p,278,9.534999999999854,128
3311.999,1219.173,144p,278,2.7280000000000655,128
3320.001,1219.173,144p,278,8.002000000000407,128
3327.029,1219.252,144p,278,6.948999999999614,128
3327.78,1219.273,144p,278,0.7300000000004729,128
3328.853,1219.273,144p,278,1.0729999999994106,128
3329.356,1219.321,144p,278,0.455000000000382,128
3330.001,1219.968,144p,278,0,128
3330.106,1220.074,144p,278,0,128
3340.001,1229.967,144p,278,0.0019999999999527063,128
3380.001,1269.969,144p,278,0,192
3394.088,1284.057,144p,278,0,192
3400.001,1284.057,144p,278,5.913000000000466,192
3450.001,1318.944,144p,278,15.112999999999829,192
3480.001,1348.945,144p,278,0,192
3510.001,1378.946,144p,278,0,192
3510.959,1379.903,144p,278,0.0009999999992942321,192
3520.001,1379.903,144p,278,9.042000000000371,192
3532.715,1379.903,144p,278,12.713999999999942,192
3540.001,1379.903,144p,278,7.286000000000058,192
3547.117,1379.903,144p,278,7.1159999999999854,192
3550.001,1379.903,144p,278,2.8840000000000146,192
3565.12,1379.903,144p,278,15.118999999999687,192
3570.001,1379.903,144p,278,4.881000000000313,192
3583.529,1389.067,144p,278,4.364000000000033,192
3590.001,1389.067,144p,278,6.472000000000207,192
3597.889,1389.143,144p,278,7.811999999999898,192
3598.639,1389.826,144p,278,0.06700000000000728,192
3600.001,1391.188,144p,278,0.0,256
3616.345,1407.533,144p,278,0,256
3618.513,1407.622,144p,278,2.0789999999997235,256
3619.264,1408.289,144p,278,0.08400000000074215,256
3620.001,1409.026,144p,278,0.0,256
3624.89,1413.915,144p,278,0,256
3628.993,1413.996,144p,278,4.0219999999999345,256
3629.743,1414.67,144p,278,0.07600000000002183,256
3630.001,1414.928,144p,278,4.547473508864641e-13,256
3641.201,1426.127,144p,278,0.0009999999997489795,256
3650.0,1426.127,144p,278,8.798999999999978,256
3654.855,1426.21,144p,278,4.7719999999999345,256
3655.605,1426.892,144p,278,0.06799999999975626,256
3660.001,1431.288,144p,278,4.547473508864641e-13,256
3690.001,1461.289,144p,278,0,256
3720.001,1491.291,144p,278,0,256
3743.969,1515.259,144p,278,0.0,256
3750.0,1515.259,144p,278,6.030999999999949,256
3772.312,1524.954,144p,278,12.61700000000019,256
3772.419,1525.045,144p,278,0.01599999999962165,256
3773.169,1525.72,144p,278,0.0749999999998181,256
3780.001,1532.552,144p,278,9.094947017729282e-13,256
3804.817,1557.367,144p,278,0.0009999999992942321,256
3810.001,1557.367,144p,278,5.1840000000001965,256
3837.578,1557.367,144p,278,27.577000000000226,256
3840.001,1557.367,144p,278,2.4229999999997744,192
3851.981,1557.367,144p,278,11.980000000000473,192
3858.634,1557.367,144p,278,6.652999999999338,192
3860.001,1557.367,144p,278,1.3670000000001892,192
3885.64,1557.367,144p,278,25.639000000000124,192
3890.001,1557.367,144p,278,4.360999999999876,192
3900.042,1557.367,144p,278,10.041000000000167,192
3910.001,1557.367,144p,278,9.958999999999833,192
3933.066,1578.252,144p,278,2.1799999999998363,192
3940.001,1578.252,144p,278,6.9350000000004,192
3943.789,1578.337,144p,278,3.7029999999999745,192
3944.539,1579.018,144p,278,0.06899999999995998,192
3950.001,1584.48,144p,278,0.0,192
3952.564,1587.044,144p,278,0,192
3954.327,1587.118,144p,278,1.6890000000007603,192
3955.077,1587.797,144p,278,0.07099999999991269,192
3960.001,1592.721,144p,278,0.0,192
3987.537,1620.256,144p,278,0.0009999999997489795,192
3990.001,1620.256,144p,278,2.463999999999942,192
3997.936,1620.346,144p,278,7.845000000000255,192
3998.686,1621.028,144p,278,0.068000000000211,192
4000.001,1622.342,144p,278,0.0009999999997489795,192
4012.286,1634.628,240p,395,0,192
4021.036,1643.378,144p,278,0.0,192
4060.001,1682.345,144p,278,0,192
4075.069,1697.413,144p,278,0.0,192
4080.001,1697.413,144p,278,4.932000000000244,128
4249.753,1716.963,240p,395,0.0,128
4249.753,1716.963,240p,395,150.20199999999977,128
4264.156,1716.963,144p,278,14.403000000000247,128
4264.157,1716.963,144p,278,0.0010000000002037268,128
4286.778,1728.954,144p,278,10.63000000000011,128
4290.001,1728.954,144p,278,3.2229999999999563,128
4295.003,1729.023,144p,278,4.932999999999083,128
4295.753,1729.688,144p,278,0.08500000000003638,128
4300.0,1733.936,144p,278,0,128
4329.028,1762.964,240p,395,0.0,64
4345.963,1779.899,240p,395,0,64
4350.001,1779.899,240p,395,4.038000000000466,64
4350.67,1779.988,240p,395,0.5799999999994725,64
4351.42,1780.664,240p,395,0.07400000000052387,64
4359.803,1789.045,240p,395,0.001999999999497959,64
4360.001,1789.045,240p,395,0.19800000000032014,64
4361.335,1789.122,240p,395,1.256999999999607,64
4362.085,1789.781,240p,395,0.09100000000034925,64
4370.0,1797.697,240p,395,0,64
4389.802,1817.5,144p,278,0,64
